anomalyID,srcIP,srcPort,dstIP,dstPort,taxonomy,heuristic,distance,nbDetectors,label
33,34.133.158.243,80,142.17.92.232,49496,alphflHTTP,503,-1.061634,1,notice
34,196.12.67.202,443,164.220.86.157,,salphfl,504,-1.061634,1,notice
35,34.133.158.242,80,164.220.131.117,54982,alphflHTTP,503,-1.061634,1,notice
36,164.220.139.188,,,,ptmpla,504,-1.061634,1,notice
37,97.157.108.186,80,142.17.76.105,41362,salphfl,503,-1.061634,1,notice
38,136.39.91.179,,28.60.132.240,443,alphfl,504,-1.061634,1,notice
39,164.220.87.119,,,80,ptmplaHTTP,503,-1.061634,1,notice
40,206.92.144.11,51939,197.10.37.23,80,alphflHTTP,503,-1.061634,1,notice
41,11.248.34.148,80,142.17.14.51,49808,alphflHTTP,503,-1.061634,1,notice
42,142.17.172.134,,111.243.226.145,80,alphflHTTP,503,-1.061634,1,notice
43,171.166.227.113,80,206.92.154.15,,salphfl,503,-1.061634,1,notice
44,207.216.44.243,80,164.220.242.166,62383,malphfl,503,-1.061634,1,notice
45,42.58.104.123,18328,164.220.241.107,5830,alphfl,999,-1.061634,1,notice
46,142.17.116.199,51174,197.83.230.59,80,alphflHTTP,503,-1.061634,1,notice
47,201.46.154.242,443,144.194.236.164,63735,alphfl,504,-1.061634,1,notice
48,55.113.61.81,40326,207.160.154.51,80,alphflHTTP,503,-1.061634,1,notice
49,164.220.148.58,49862,163.94.223.40,443,alphfl,504,-1.061634,1,notice
50,136.39.101.57,,,443,ntscACK,504,-1.061634,1,notice
51,164.220.108.170,,,,ntscACK,504,-1.061634,1,notice
52,31.52.211.36,80,144.194.181.222,52615,alphflHTTP,503,-1.061634,1,notice
53,171.170.1.202,80,142.17.237.179,62494,alphflHTTP,503,-1.061634,1,notice
54,13.69.146.135,,142.17.67.12,80,alphflHTTP,503,-1.061634,1,notice
55,208.61.125.155,5700,144.194.11.164,3551,alphfl,999,-1.061634,1,notice
56,164.220.163.9,53108,48.85.233.59,80,salphfl,503,-1.061634,1,notice
57,155.212.32.87,,,,ptmpla,504,-1.061634,1,notice
58,142.17.25.194,,,,ptmpla,504,-1.061634,1,notice
59,207.160.154.21,,,,ntscACK,503,-1.061634,1,notice
60,136.39.251.132,,,,ntscACK,503,-1.061634,1,notice
61,164.220.86.92,52670,197.10.36.208,80,alphflHTTP,503,-1.061634,1,notice
62,,,104.50.184.16,443,mptp,504,-1.152219,2,notice
63,104.50.176.53,,104.50.176.53,,empty,901,-1.061634,1,notice
64,206.84.223.127,80,206.84.223.127,,empty,901,-1.061634,1,notice
65,,,142.17.66.109,80,mptpHTTP,503,-0.57956,3,notice
66,207.160.158.92,,207.160.158.92,,empty,901,-1.061634,1,notice
67,,,68.158.173.4,443,mptpla,504,-1.061634,1,notice
68,85.24.194.93,443,136.39.153.179,,alphfl,504,-1.061634,1,notice
69,196.41.123.113,443,142.17.30.87,,malphfl,504,-1.061634,1,notice
70,97.83.120.94,443,142.17.14.57,,salphfl,504,-1.061634,1,notice
71,15.198.80.199,,,,ptmplaHTTP,503,-1.061634,1,notice
72,142.17.15.112,,100.0.78.221,443,salphfl,504,-1.061634,1,notice
73,164.220.242.211,,,,ptmpHTTP,503,-1.061634,1,notice
74,142.17.17.166,,,,ptmpla,504,-1.061634,1,notice
75,136.39.224.60,,,443,ptmp,504,-1.061634,1,notice
76,209.111.162.159,,,,ptmpla,999,-1.061634,1,notice
77,136.39.17.168,,,,ntscACK,504,-1.061634,1,notice
78,171.139.231.36,,171.139.231.36,,empty,901,-1.061634,1,notice
79,,,207.160.131.24,53,ntscUDPUDPrp,999,-1.061634,1,notice
80,142.17.31.181,,,,ptmplaHTTP,503,-1.061634,1,notice
81,7.94.49.75,,,,sntscSYNt,10,-1.061634,1,notice
82,215.231.100.142,,,23,ntscSYNt,10,-1.061634,1,notice
83,206.239.183.142,59296,164.220.55.248,22,mptpla,502,-0.66253,2,notice
84,206.85.100.152,53398,164.220.55.248,22,mptpla,502,-0.66253,2,notice
85,136.201.105.243,59463,164.220.55.248,22,mptpla,502,-0.66253,2,notice
86,,,211.190.180.72,,ntscTCPICdurp,20,-1.061634,1,notice
87,,,7.94.49.75,,ntscTCPICdurp,20,-1.061634,1,notice
88,164.220.86.85,,,,ptmpHTTP,503,-1.061634,1,notice
89,142.17.36.183,,,,ptmpla,504,-1.061634,1,notice
90,136.39.184.218,,,,ptmplaHTTP,503,-1.061634,1,notice
91,206.92.129.197,,,,ntscACK,503,-1.061634,1,notice
92,,,142.17.25.0,,mptpHTTP,503,-1.061634,1,notice
93,,,144.194.97.187,,mptp,999,-1.061634,1,notice
94,142.17.31.227,62854,178.126.236.34,80,alphflHTTP,503,-0.66253,2,notice
95,206.92.49.175,35949,,8889,ptmpla,901,-0.66253,2,notice
96,220.70.115.60,,206.92.49.179,80,salphfl,503,-0.66253,2,notice
97,142.17.237.232,54567,25.241.215.236,443,ptmplaHTTP,503,-0.66253,2,notice
98,142.17.237.232,54668,80.93.66.235,443,ptmplaHTTP,503,-0.66253,2,notice
99,142.17.237.232,54670,80.93.52.184,80,ptmplaHTTP,503,-0.66253,2,notice
100,75.126.141.234,,,23,ntscSYNt,10,-0.66253,2,notice
101,215.145.73.34,,,22,ptmp,502,-0.66253,2,notice
102,8.100.120.33,,,23,ntscSYNt,10,-0.693262,3,notice
103,190.244.214.36,,,23,ntscSYNt,10,-0.66253,2,notice
104,11.212.210.77,,,23,ntscSYNt,10,-0.66253,2,notice
105,85.50.167.209,,,23,sntscSYNt,10,-0.66253,2,notice
106,76.181.163.190,,,22,ptmpla,502,-0.66253,2,notice
107,206.84.223.127,,100.59.251.77,443,salphfl,901,-0.66253,2,notice
108,155.212.148.182,,,,alphfl,999,-1.387982,1,notice
109,197.253.148.86,,,,alphfl,999,-1.387982,1,notice
110,200.146.183.143,,,,ntscUDP,999,-1.387982,1,notice
111,164.220.99.153,,,,ntscUDP,999,-1.387982,1,notice
112,180.249.44.177,,,,ptmplaHTTP,503,-1.387982,1,notice
113,97.156.114.32,,,,ptmpHTTP,503,-1.387982,1,notice
114,68.189.229.26,,,,alphfl,999,-1.387982,1,notice
115,164.220.242.26,,,,ptmplaHTTP,503,-1.387982,1,notice
116,58.81.3.216,,,,ptmpla,504,-1.387982,1,notice
117,136.39.16.42,,,,ptmp,503,-1.387982,1,notice
118,164.220.116.106,,,,ptmp,504,-1.387982,1,notice
119,142.17.93.252,,,,ptmpla,504,-1.387982,1,notice
120,164.220.242.177,,,,ptmplaHTTP,503,-1.387982,1,notice
121,83.106.251.156,,,,salphfl,504,-1.387982,1,notice
122,136.39.107.18,,,443,ptmpla,999,-1.152219,2,notice
123,136.39.107.18,,97.248.160.177,80,ptmpla,999,-1.152219,2,notice
124,142.6.198.26,,,,ptmpla,504,-1.387982,1,notice
125,222.107.200.136,,,,alphfl,504,-1.387982,1,notice
126,180.249.44.82,,,,ptmplaHTTP,503,-1.387982,1,notice
127,222.107.216.200,,,,alphfl,504,-1.387982,1,notice
128,1.123.76.13,,,,ptpDoSIC,20,-1.387982,1,notice
129,6.198.248.67,,,,salphfl,503,-1.387982,1,notice
130,97.207.230.158,,,,ptmpla,504,-1.387982,1,notice
131,164.220.135.69,,,,ntscACK,503,-1.387982,1,notice
132,142.17.11.228,,,,ptmp,504,-1.387982,1,notice
133,142.17.117.115,,,,ptmpla,504,-1.387982,1,notice
134,85.43.32.34,,,,alphfl,999,-1.387982,1,notice
135,5.179.226.217,,,,alphfl,999,-1.387982,1,notice
136,97.102.253.168,,,,alphflHTTP,503,-1.387982,1,notice
137,164.220.85.108,19144,,,ntscUDP,999,-1.152219,2,notice
138,194.157.197.162,,,,ptmplaHTTP,503,-1.387982,1,notice
139,10.92.190.138,,,,ptmpla,10,-1.387982,1,notice
140,136.39.251.39,,,,ptmpHTTP,503,-1.387982,1,notice
141,164.220.243.65,,,,ntscACK,503,-1.387982,1,notice
142,142.13.116.152,,,,ptmpla,502,-1.387982,1,notice
143,142.17.25.18,,,,ptmp,504,-1.387982,1,notice
144,141.50.17.107,,,,ptmplaHTTP,503,-1.387982,1,notice
145,142.17.36.28,,,,ptmp,504,-1.387982,1,notice
146,206.84.223.5,,,,ptmp,999,-1.387982,1,notice
147,189.217.76.236,,,,salphfl,999,-1.387982,1,notice
148,164.220.219.189,,,,ptmpla,504,-1.387982,1,notice
149,207.160.155.233,,,,ntscACK,503,-1.387982,1,notice
150,155.212.21.28,,,,ptmpla,504,-1.387982,1,notice
151,189.153.192.211,,,,ptmplaHTTP,503,-1.387982,1,notice
152,68.195.21.130,,,,ptmpla,504,-1.387982,1,notice
153,100.19.216.6,,,,ptmp,54,-1.387982,1,notice
154,68.181.206.43,,,,ptmpla,504,-1.387982,1,notice
155,142.17.10.242,,,,ptmpla,504,-1.387982,1,notice
156,142.17.31.179,,,,ptmpla,504,-1.387982,1,notice
157,58.81.0.57,,,,ptmplaHTTP,503,-1.387982,1,notice
158,100.51.6.60,,,,ptmpla,504,-1.387982,1,notice
159,58.81.0.80,,,,ntscACK,503,-1.387982,1,notice
160,31.248.217.41,,,,alphflHTTP,503,-1.387982,1,notice
161,97.202.254.201,,,,salphfl,504,-1.387982,1,notice
162,194.189.55.127,,,,salphfl,503,-1.387982,1,notice
163,223.98.142.13,,,,ptmpla,504,-1.387982,1,notice
164,179.241.138.27,,,,ntscSYNt,10,-1.387982,1,notice
165,144.196.143.222,,,,salphfl,503,-1.387982,1,notice
166,45.103.187.140,,,,salphfl,503,-1.387982,1,notice
167,7.123.10.140,,,,ptmplaHTTP,503,-1.387982,1,notice
168,142.17.12.22,,,,ptmpla,504,-1.387982,1,notice
169,194.58.154.93,,,,ptmpla,999,-1.387982,1,notice
170,100.9.97.249,,,,ptmpla,999,-1.387982,1,notice
171,136.39.167.154,,,,ptmpla,504,-1.387982,1,notice
172,171.136.183.33,,,,salphfl,503,-1.387982,1,notice
173,142.6.132.135,,,,ptmplaHTTP,503,-1.387982,1,notice
174,48.85.233.119,,,,ptmplaHTTP,503,-1.387982,1,notice
175,210.236.45.24,,,,salphfl,503,-1.387982,1,notice
176,142.17.67.144,,,,ntscUDP,999,-1.387982,1,notice
177,142.17.165.122,,,,ptmpla,502,-1.387982,1,notice
178,142.17.10.224,,,,ptmplaHTTP,503,-1.387982,1,notice
179,27.161.120.141,,,,sntscSYNt,10,-1.387982,1,notice
180,207.160.146.86,,,,ptmpla,504,-1.387982,1,notice
181,136.39.186.238,,,,ntscACK,503,-1.387982,1,notice
182,136.39.148.104,,,,ntscACK,503,-1.387982,1,notice
183,136.39.176.207,,,,ptmplaHTTP,503,-1.387982,1,notice
184,207.191.241.98,,,,poscUDPICrp,20,-1.387982,1,notice
185,142.17.88.157,,,,hostout,20,-1.387982,1,notice
186,142.17.11.180,,,,ptmpla,504,-1.387982,1,notice
187,100.104.246.199,,,,ptmplaHTTP,503,-1.387982,1,notice
188,12.68.221.35,,,,salphfl,999,-1.387982,1,notice
189,68.193.21.11,,,,ptmplaHTTP,503,-1.387982,1,notice
190,44.80.66.41,,,,ptmplaHTTP,503,-1.387982,1,notice
191,61.90.208.250,,,,ptmplaHTTP,503,-1.387982,1,notice
192,142.17.30.187,,,,ptmp,504,-1.387982,1,notice
193,142.17.24.112,,,,ptmpla,504,-1.387982,1,notice
194,206.92.152.69,,,,ptmplaHTTP,504,-1.387982,1,notice
195,142.17.117.228,,,,ptmpla,504,-1.387982,1,notice
196,168.169.227.54,,,,salphfl,504,-1.387982,1,notice
197,4.94.50.152,,,,salphfl,999,-1.387982,1,notice
198,31.126.208.107,,,,salphfl,999,-1.387982,1,notice
199,68.158.32.238,,,,alphfl,504,-1.387982,1,notice
200,168.169.136.88,,,,salphfl,504,-1.387982,1,notice
201,210.58.212.230,,,,salphfl,503,-1.387982,1,notice
202,209.83.157.6,,,,salphfl,504,-1.387982,1,notice
203,20.151.218.142,,,,salphfl,503,-1.387982,1,notice
204,147.139.213.215,,,,ipv46tun,999,-1.387982,1,notice
205,222.1.63.130,,,,salphfl,999,-1.387982,1,notice
206,142.17.36.103,,,,ptmplaHTTP,503,-1.387982,1,notice
207,197.10.32.186,,,,alphflHTTP,503,-1.387982,1,notice
208,85.56.80.218,,,,sntscSYNt,10,-1.387982,1,notice
209,53.18.170.168,,,,alphflHTTP,503,-1.387982,1,notice
210,74.80.153.234,,,,ptmplaHTTP,503,-1.387982,1,notice
211,164.220.242.110,,,,ptmp,999,-1.387982,1,notice
212,27.216.224.121,,,,point_to_point,503,-1.387982,1,notice
213,142.17.65.52,,,,ntscUDP,999,-1.387982,1,notice
214,164.220.243.64,,,,ptmpla,999,-1.387982,1,notice
215,142.17.220.235,,,,ptmpla,504,-1.387982,1,notice
216,207.160.153.229,33435,,,icmp_error,20,-1.387982,1,notice
217,207.160.153.229,,,,icmp_error,20,-1.387982,1,notice
218,37.172.61.84,,,,alphflHTTP,503,-1.387982,1,notice
219,142.17.36.188,,,,ntscACK,503,-1.387982,1,notice
220,164.220.169.64,,,,ptmp,999,-1.387982,1,notice
221,206.25.48.98,,,22,sntscSYNt,10,-1.387982,1,notice
222,142.17.31.15,,,,ptmplaHTTP,503,-1.387982,1,notice
223,191.135.41.59,,,,sntscSYNt,10,-1.387982,1,notice
224,207.160.155.71,,,,ptmpla,504,-1.387982,1,notice
225,200.128.248.78,,,,salphfl,999,-1.387982,1,notice
226,164.220.55.248,,,,ptmpla,502,-1.387982,1,notice
227,120.84.148.173,,207.160.131.24,80,point_to_point,10,-1.387982,1,notice
228,164.220.99.177,,,,ptmpla,504,-1.387982,1,notice
229,142.17.26.124,,,,ptmpla,504,-1.387982,1,notice
230,206.92.145.233,,,,ptmpla,504,-1.387982,1,notice
231,1.146.62.8,,,,sntscSYNt,10,-1.387982,1,notice
232,206.84.239.49,,,,ptmpla,502,-1.387982,1,notice
233,164.220.195.26,,,,ptmpHTTP,503,-1.387982,1,notice
234,206.92.53.166,,,,ntscACK,503,-1.387982,1,notice
235,75.30.57.64,,,,ntscUDP,999,-1.387982,1,notice
236,197.126.203.188,53,144.194.126.1,,ptpposcaUDP,999,-1.387982,1,notice
237,11.138.111.20,,,,ptmpHTTP,10,-1.387982,1,notice
238,136.39.251.41,,,,ptmpla,999,-1.387982,1,notice
239,133.94.59.221,,,,ptmpla,504,-1.387982,1,notice
240,207.172.126.126,,,,ptmplaHTTP,53,-1.387982,1,notice
241,164.220.144.223,,,,ptmplaHTTP,503,-1.387982,1,notice
242,164.220.100.73,,,,ptmplaHTTP,503,-1.387982,1,notice
243,214.119.158.235,,,,ptmpla,502,-1.387982,1,notice
244,206.92.142.16,,,,sntscSYNt,10,-1.387982,1,notice
245,206.92.154.2,,,,ntscACK,503,-1.387982,1,notice
246,68.72.175.241,,,,ptmpla,504,-1.387982,1,notice
247,142.17.101.193,,,,ptmp,999,-1.387982,1,notice
248,186.235.134.127,,,,salphfl,503,-1.387982,1,notice
249,206.84.223.35,,,,ptmplaHTTP,503,-1.387982,1,notice
250,144.196.140.161,,,,ptmpla,999,-1.387982,1,notice
251,206.92.152.87,,,,ptmpHTTP,503,-1.387982,1,notice
252,142.17.237.134,,,,ptmplaHTTP,503,-1.387982,1,notice
253,100.51.18.138,,,,ptmpla,504,-1.387982,1,notice
254,142.17.24.122,,,,ptmpla,504,-1.387982,1,notice
255,142.17.28.13,,,,ptmplaHTTP,503,-1.387982,1,notice
256,220.42.97.221,,,,salphfl,503,-1.387982,1,notice
257,68.140.211.50,,,,ptmpla,504,-1.387982,1,notice
258,142.17.235.133,,,,ptmpla,504,-1.387982,1,notice
259,164.220.18.9,,,,ptmpla,999,-1.387982,1,notice
260,142.17.31.186,,,,ptmp,504,-1.387982,1,notice
261,111.150.16.122,,,,ptmpla,504,-1.387982,1,notice
262,200.191.166.191,53,144.194.126.1,,ptpposcaUDP,999,-1.387982,1,notice
263,164.220.116.158,,,,ntscACK,503,-1.387982,1,notice
264,97.113.110.45,,,,ptmpla,504,-1.387982,1,notice
265,142.17.113.223,,,,ptmp,504,-1.387982,1,notice
266,142.17.27.30,,,,ptmpla,504,-1.387982,1,notice
267,142.17.92.193,,,,ptmpla,504,-1.387982,1,notice
268,7.171.32.178,,,,alphfl,502,-1.387982,1,notice
269,208.250.107.12,,,,alphflHTTP,503,-1.387982,1,notice
270,15.138.202.58,,,,salphfl,999,-1.387982,1,notice
271,74.209.251.124,,,,point_to_point,503,-1.387982,1,notice
272,68.72.60.192,,,,ptmpla,504,-1.387982,1,notice
273,142.17.24.40,,,,ptmpla,504,-1.387982,1,notice
274,206.92.153.18,,,,ptmpHTTP,504,-1.387982,1,notice
275,100.58.21.1,,,,ptmpla,999,-1.387982,1,notice
276,142.17.113.188,,,,ptmpla,504,-1.387982,1,notice
277,142.17.113.80,,,,ptmp,504,-1.387982,1,notice
278,75.30.34.112,,,,ptmplaHTTP,503,-1.387982,1,notice
279,15.106.96.156,,,,salphfl,999,-1.387982,1,notice
280,68.200.255.188,,,,ptmpla,504,-1.387982,1,notice
281,142.17.116.109,,,,ptmpla,504,-1.387982,1,notice
282,206.85.218.176,,,,ptmpla,504,-1.387982,1,notice
283,164.220.86.76,,,,ptmpla,504,-1.387982,1,notice
284,165.3.132.212,,,,salphfl,503,-1.387982,1,notice
285,68.164.21.115,,,,ptmpla,504,-1.387982,1,notice
286,169.38.159.40,,,,ptmplaHTTP,503,-1.387982,1,notice
287,164.143.183.136,,,,ptmplaHTTP,503,-1.387982,1,notice
288,208.204.59.235,,,,salphfl,503,-1.387982,1,notice
289,142.17.27.143,,,,ntscACK,503,-1.387982,1,notice
290,71.162.102.0,,,,salphfl,504,-1.387982,1,notice
291,54.246.133.155,,,,ptmpla,999,-1.387982,1,notice
292,142.17.10.227,,,,ptmpla,504,-1.387982,1,notice
293,206.195.221.16,,,,salphfl,503,-1.387982,1,notice
294,71.183.112.147,,,,alphflHTTP,503,-1.387982,1,notice
295,7.109.222.25,,,,salphfl,503,-1.387982,1,notice
296,58.81.0.141,,,,ptmplaHTTP,503,-1.387982,1,notice
297,214.126.95.20,,,,salphfl,999,-1.387982,1,notice
298,140.188.127.131,,,,ptmplaHTTP,503,-1.387982,1,notice
299,207.160.147.26,,,,ntscUDP,999,-1.387982,1,notice
300,206.92.145.7,,,,ptmpla,999,-1.387982,1,notice
301,68.159.14.99,,,,ptmpla,504,-1.387982,1,notice
302,85.249.224.209,,,,salphfl,503,-1.387982,1,notice
303,65.37.121.192,,,,ptmplaHTTP,503,-1.387982,1,notice
304,142.17.14.112,,,,ptmpla,504,-1.387982,1,notice
305,13.15.125.247,,,,salphfl,503,-1.387982,1,notice
306,34.173.89.78,,,,salphfl,503,-1.387982,1,notice
307,219.51.219.113,,,,icmp_error,20,-1.387982,1,notice
308,142.17.81.202,,,,ptmpla,502,-1.387982,1,notice
309,38.13.114.238,,,,alphfl,999,-1.387982,1,notice
310,20.183.33.182,,,,alphfl,504,-1.387982,1,notice
311,51.195.114.185,,,,sntscSYNt,10,-1.387982,1,notice
312,222.76.182.30,,,,ptmpla,999,-1.387982,1,notice
313,136.39.181.179,,,,ptmp,504,-1.387982,1,notice
314,206.92.55.198,,,,ntscACK,504,-1.387982,1,notice
315,97.83.126.225,,,,ptmpla,504,-1.387982,1,notice
316,9.53.176.253,,,,ntscUDP,999,-1.387982,1,notice
317,164.220.87.170,,,,ptmp,999,-1.387982,1,notice
318,196.12.68.186,,,,ptmpla,504,-1.387982,1,notice
319,207.160.158.244,,,53,ntscUDP,999,-1.387982,1,notice
320,142.17.29.67,,,,ptmpla,504,-1.387982,1,notice
321,194.7.128.72,,,,ptmpla,504,-1.387982,1,notice
322,51.156.25.12,,,,salphfl,20,-1.387982,1,notice
323,20.121.144.215,,,,ptmplaHTTP,503,-1.387982,1,notice
324,97.156.115.211,,,,ptmplaHTTP,503,-1.387982,1,notice
325,142.17.117.221,,,,ptmpla,504,-1.387982,1,notice
326,164.220.219.253,52925,,,ptmp,504,-1.152219,2,notice
327,164.220.219.253,,,443,ptmp,504,-1.152219,2,notice
328,142.17.28.64,,,,ptmpla,504,-1.387982,1,notice
329,142.17.30.148,,,,ptmpla,504,-1.387982,1,notice
330,178.126.236.20,,,,alphflHTTP,503,-1.387982,1,notice
331,142.17.11.28,,,,ptmpla,504,-1.387982,1,notice
332,46.253.202.24,,,,sntscSYNt,10,-1.387982,1,notice
333,37.45.199.110,,,,ntscUDP,999,-1.387982,1,notice
334,142.17.31.226,,,,ptmpla,504,-1.387982,1,notice
335,100.59.99.87,,,,ptmp,504,-1.387982,1,notice
336,142.17.118.127,,,,ntscACKt,503,-1.387982,1,notice
337,164.220.242.8,,,,ptmplaHTTP,503,-1.387982,1,notice
338,206.66.228.86,,,,ptmpHTTP,503,-1.387982,1,notice
339,136.39.153.172,,,,ttl_error,20,-1.387982,1,notice
340,164.220.18.59,,,,ptmpla,504,-1.387982,1,notice
341,142.17.220.140,,,,ptmpla,504,-1.387982,1,notice
342,142.17.11.223,,,,ptmpHTTP,999,-1.387982,1,notice
343,97.229.204.52,,,,ptmpla,504,-1.387982,1,notice
344,13.83.175.31,,,,salphfl,999,-1.387982,1,notice
345,164.220.169.247,,,,salphfl,504,-1.387982,1,notice
346,136.39.38.255,,,,ptmplaHTTP,503,-1.387982,1,notice
347,164.220.229.163,,,,ptmplaHTTP,503,-1.387982,1,notice
348,194.65.187.167,,,,ptmpla,502,-1.387982,1,notice
349,142.17.30.146,,,,ntscACK,503,-1.387982,1,notice
350,164.220.95.74,,,,ptmpla,504,-1.387982,1,notice
351,186.177.82.19,,,,salphfl,503,-1.387982,1,notice
352,164.220.42.174,,,,ptmplaHTTP,503,-1.387982,1,notice
353,171.134.141.67,,,,ptmpla,999,-1.387982,1,notice
354,165.3.138.169,,,,salphfl,503,-1.387982,1,notice
355,58.81.0.31,,,,ptmplaHTTP,503,-1.387982,1,notice
356,196.37.35.120,,,,alphfl,999,-1.387982,1,notice
357,100.30.44.72,,,,salphfl,504,-1.387982,1,notice
358,15.118.35.147,,,,salphfl,999,-1.387982,1,notice
359,186.232.100.56,,,,ptmpla,504,-1.387982,1,notice
360,206.85.30.219,53,142.17.221.232,,ptpposcaUDP,999,-1.387982,1,notice
361,144.194.3.149,,,,salphfl,999,-1.387982,1,notice
362,206.243.192.127,,,,ptmpla,999,-1.387982,1,notice
363,48.169.188.28,,,,alphfl,504,-1.387982,1,notice
364,136.39.12.243,,,,ptmplaHTTP,503,-1.387982,1,notice
365,142.17.11.113,,,,ptmpla,504,-1.387982,1,notice
366,142.17.112.13,,,,ptmp,504,-1.387982,1,notice
367,171.176.163.94,53,,,ptmp,999,-1.387982,1,notice
368,,,171.139.211.72,443,mptp,504,-1.152219,2,notice
369,57.249.66.207,,,,ptmpla,504,-1.387982,1,notice
370,206.92.55.53,,,,ptmpla,502,-1.387982,1,notice
371,11.227.226.220,,,,salphfl,999,-1.387982,1,notice
372,155.212.140.7,,,,ptmp,999,-1.387982,1,notice
373,206.84.196.223,,,,ttl_error,20,-1.387982,1,notice
374,164.220.226.64,,,,salphfl,504,-1.387982,1,notice
375,9.108.163.221,,,,ptmpla,10,-1.387982,1,notice
376,194.158.70.105,,,,ptmpla,504,-1.387982,1,notice
377,13.27.203.175,,,,salphfl,999,-1.387982,1,notice
378,142.17.25.126,,,,ptmpla,504,-1.387982,1,notice
379,189.152.91.143,,,,sptpDoSSYN,10,-1.387982,1,notice
380,136.39.224.213,,,,ptmplaHTTP,503,-1.387982,1,notice
381,142.17.112.129,,,,ptmp,504,-1.387982,1,notice
382,164.220.86.47,,,,ptmp,504,-1.387982,1,notice
383,164.220.155.228,,,,ptmplaHTTP,503,-1.387982,1,notice
384,142.17.9.252,,,,ptmplaHTTP,502,-1.387982,1,notice
385,136.39.10.192,,,,ptmpla,504,-1.387982,1,notice
386,58.81.0.4,,,,ptmplaHTTP,503,-1.387982,1,notice
387,165.85.140.38,,,,alphfl,504,-1.387982,1,notice
388,142.17.118.8,,,,ptmp,504,-1.387982,1,notice
389,136.39.120.83,,,,ptmplaHTTP,503,-1.387982,1,notice
390,142.17.15.61,,,,ntscACK,503,-1.387982,1,notice
391,189.60.98.122,,,,salphfl,504,-1.387982,1,notice
392,164.220.195.124,,,,ptmp,504,-1.387982,1,notice
393,142.17.10.246,,,,ptmpla,999,-1.387982,1,notice
394,123.156.66.247,,,,ptmpla,999,-1.387982,1,notice
395,0.64.210.10,,,,salphfl,999,-1.387982,1,notice
396,164.220.31.94,,,,ptmpla,504,-1.387982,1,notice
397,68.146.96.6,,,,ptmpla,504,-1.387982,1,notice
398,142.17.26.97,,,,ptmpla,504,-1.387982,1,notice
399,142.17.236.105,,,,ptmpla,999,-1.387982,1,notice
400,182.125.44.167,,,,ptmpla,999,-1.387982,1,notice
401,147.139.173.42,,,,ptmpla,999,-1.387982,1,notice
402,136.39.131.22,,,,ptmplaHTTP,503,-1.387982,1,notice
403,142.17.11.34,,,,ptmpla,999,-1.387982,1,notice
404,142.17.30.205,,,,ptmpla,504,-1.387982,1,notice
405,9.240.34.12,,,,salphfl,999,-1.387982,1,notice
406,136.39.117.238,,,,ptmplaHTTP,503,-1.387982,1,notice
